"","Sample_1_1","Sample_1_2","Sample_1_3","Sample_1_4","Sample_2_1","Sample_2_2","Sample_2_3","Sample_2_4"
"ENSG00000212567",0,0,0,0,0,0,0,0
"ENSG00000145592",1981,2555,2206,2623,2509,2163,2605,1959
"ENSG00000212296",0,0,0,0,0,0,0,0
"ENSG00000132357",3,5,3,2,1,1,0,0
"ENSG00000253098",0,0,0,0,0,0,0,0
"ENSG00000226221",41,55,46,60,60,60,59,52
"ENSG00000234553",0,0,0,0,0,0,0,0
"ENSG00000228650",0,0,0,0,0,0,0,0
"ENSG00000095015",118,171,115,115,164,113,127,83
"ENSG00000155542",25,49,24,40,41,31,23,22
"ENSG00000288890",4,6,6,1,8,5,5,1
"ENSG00000235275",0,0,0,1,1,0,0,0
"ENSG00000266751",0,0,0,0,0,0,0,0
"ENSG00000239615",0,0,0,0,0,0,0,0
"ENSG00000006837",8,15,7,8,21,15,13,9
"ENSG00000119048",285,386,336,366,252,239,292,214
"ENSG00000279469",4,2,2,2,4,2,1,2
"ENSG00000237190",191,280,223,227,308,280,341,265
"ENSG00000253811",0,2,0,0,1,0,0,0
"ENSG00000253456",0,0,0,0,1,1,0,0
"ENSG00000279204",1,1,3,2,9,1,3,2
"ENSG00000252458",0,0,0,0,0,0,0,0
"ENSG00000164332",222,339,294,292,314,277,346,200
"ENSG00000221601",0,0,0,0,0,0,0,0
"ENSG00000253298",0,0,0,0,0,0,0,0
"ENSG00000113302",0,0,0,0,0,0,0,0
"ENSG00000250289",0,0,0,0,0,0,0,0
"ENSG00000212249",0,0,0,0,0,0,0,0
"ENSG00000276309",0,0,0,0,0,0,0,0
"ENSG00000249183",0,0,0,0,0,1,0,0
"ENSG00000145740",223,329,241,239,144,170,175,139
"ENSG00000220986",0,0,0,0,0,0,0,0
"ENSG00000280894",0,0,0,0,0,0,0,0
"ENSG00000134057",119,157,129,150,36,28,30,20
"ENSG00000145850",0,0,0,0,0,0,0,0
"ENSG00000270560",0,0,0,0,0,0,0,0
"ENSG00000254246",1,0,0,0,0,0,0,2
"ENSG00000155868",101,144,146,153,195,111,185,128
"ENSG00000170613",0,0,0,0,0,0,0,0
"ENSG00000253980",0,0,0,0,0,0,0,0
"ENSG00000253653",1,2,0,1,2,1,0,1
"ENSG00000151292",270,429,346,352,420,382,405,283
"ENSG00000113263",59,55,53,46,0,1,0,0
"ENSG00000280068",0,0,0,0,0,0,0,0
"ENSG00000250820",0,0,0,0,0,0,0,0
"ENSG00000051596",49,44,25,40,30,37,19,21
"ENSG00000248596",0,0,0,0,0,0,0,0
"ENSG00000270989",0,0,0,0,0,0,0,0
"ENSG00000170085",212,322,258,232,292,222,264,199
"ENSG00000251667",3,15,7,3,2,11,7,3
"ENSG00000122203",1238,1722,1289,1382,1282,1082,1330,1040
"ENSG00000175414",926,1409,975,856,1377,1125,1208,984
"ENSG00000221464",1,1,0,0,0,1,0,0
"ENSG00000048162",68,101,62,89,73,70,72,69
"ENSG00000146066",263,322,236,289,281,222,294,275
"ENSG00000175416",898,1032,848,852,1180,1068,1261,1188
"ENSG00000280139",0,0,0,0,0,0,0,0
"ENSG00000113194",782,1101,879,867,730,637,663,508
"ENSG00000113763",89,145,82,93,215,291,329,265
"ENSG00000160883",1,4,1,3,14,10,9,6
"ENSG00000087206",162,194,149,157,237,184,185,140
"ENSG00000113761",236,395,329,292,353,331,340,305
"ENSG00000251666",1,5,5,0,10,7,5,3
"ENSG00000184840",1199,1735,1343,1381,741,499,660,589
"ENSG00000027847",361,494,323,320,250,222,248,217
"ENSG00000214351",0,0,0,0,0,0,0,0
"ENSG00000280207",0,0,0,0,0,0,1,0
"ENSG00000249129",24,24,21,27,33,25,34,24
"ENSG00000175325",0,0,0,0,0,0,0,0
"ENSG00000218227",0,0,0,0,0,0,0,0
"ENSG00000145916",294,453,338,312,460,349,427,392
"ENSG00000251211",0,0,0,0,0,1,1,1
"ENSG00000244234",0,0,0,0,0,0,0,0
"ENSG00000289390",2,3,2,0,4,0,0,1
"ENSG00000197451",626,863,590,633,692,659,698,646
"ENSG00000248791",0,0,0,1,1,0,0,0
"ENSG00000250526",0,2,0,2,0,0,2,0
"ENSG00000250182",14,8,6,13,4,4,8,11
"ENSG00000286970",1,1,0,0,2,2,2,3
"ENSG00000249485",32,30,25,30,22,27,36,15
"ENSG00000264792",0,1,0,0,0,0,0,0
"ENSG00000253801",0,0,0,0,0,0,0,0
"ENSG00000252108",0,0,0,0,0,0,0,0
"ENSG00000213864",0,0,0,0,0,0,0,1
"ENSG00000145912",166,267,192,175,211,164,221,148
"ENSG00000289726",0,0,0,0,1,3,1,0
"ENSG00000135077",4,6,4,6,6,1,7,5
"ENSG00000145675",553,827,608,651,713,609,688,483
"ENSG00000145920",2752,3913,2834,2777,2013,1876,2205,1755
"ENSG00000170234",236,386,267,236,565,380,486,369
"ENSG00000049883",105,207,141,124,125,144,150,100
"ENSG00000244061",0,0,1,0,0,0,0,0
"ENSG00000251108",0,0,0,0,0,0,0,0
"ENSG00000261269",0,0,0,0,0,0,0,0
"ENSG00000178175",0,0,0,0,0,0,0,0
"ENSG00000211445",660,906,679,743,399,424,434,375
"ENSG00000285420",0,0,0,0,0,0,0,0
"ENSG00000198624",14,32,19,16,1,3,1,0
"ENSG00000196743",408,674,536,533,248,293,337,250
"ENSG00000186334",0,1,0,0,0,0,0,0
"ENSG00000186335",0,0,0,0,0,0,0,0
"ENSG00000270904",0,0,0,0,0,0,0,0
"ENSG00000253472",0,0,0,0,0,0,0,0
"ENSG00000271494",0,0,0,0,0,0,0,0
"ENSG00000200227",0,0,0,0,0,0,0,0
"ENSG00000196923",830,1156,899,874,361,300,320,277
"ENSG00000250140",0,0,0,0,0,0,0,0
"ENSG00000241829",0,2,1,0,1,2,1,0
"ENSG00000113456",255,387,290,305,440,345,347,278
"ENSG00000113460",104,170,114,129,130,112,117,107
"ENSG00000153044",37,31,21,24,26,12,19,14
"ENSG00000134056",59,62,67,70,63,58,73,56
"ENSG00000287701",0,0,0,0,0,0,0,0
"ENSG00000249856",0,0,0,0,0,0,0,0
"ENSG00000196390",2,0,0,0,0,0,0,0
"ENSG00000239517",0,0,0,0,0,0,0,0
"ENSG00000182383",0,0,0,0,0,0,0,0
"ENSG00000249157",0,0,0,0,0,0,0,0
"ENSG00000176928",114,122,84,84,2,2,1,1
"ENSG00000145700",3,5,7,3,7,12,9,6
"ENSG00000152359",63,80,69,84,74,91,75,63
"ENSG00000207333",0,0,0,0,0,0,0,0
"ENSG00000251078",0,0,0,0,0,0,0,0
"ENSG00000251419",0,0,0,0,0,0,0,0
"ENSG00000249301",0,0,0,0,0,0,0,0
"ENSG00000248684",0,0,0,0,0,0,0,0
"ENSG00000228367",0,0,0,0,0,0,0,0
"ENSG00000249777",0,0,0,0,0,0,0,0
"ENSG00000251342",0,1,2,0,0,0,1,0
"ENSG00000122012",1021,1591,991,842,317,457,552,383
"ENSG00000252833",0,0,0,0,0,0,0,0
"ENSG00000251668",0,0,0,0,0,0,0,0
"ENSG00000254893",3,14,6,5,0,4,2,2
"ENSG00000251107",8,6,8,5,7,7,9,4
"ENSG00000145703",38,56,36,46,9,10,13,7
"ENSG00000171643",0,0,0,0,0,0,0,0
"ENSG00000252684",0,0,0,0,0,0,0,0
"ENSG00000145708",75,83,79,59,304,226,344,265
"ENSG00000164252",163,222,171,178,204,112,166,106
"ENSG00000285000",0,2,2,0,0,0,2,0
"ENSG00000132846",135,188,152,107,153,146,113,100
"ENSG00000250615",0,0,0,0,0,0,0,0
"ENSG00000238961",1,1,0,1,1,1,1,2
"ENSG00000284762",0,0,0,0,0,0,0,0
"ENSG00000251566",0,0,0,0,0,0,0,0
"ENSG00000113231",132,201,194,190,20,17,17,13
"ENSG00000251400",1,1,1,2,0,0,0,2
"ENSG00000164253",481,678,519,455,550,419,538,377
"ENSG00000244019",0,0,0,0,0,0,0,0
"ENSG00000244363",2,1,0,0,0,0,0,1
"ENSG00000171540",1,4,3,6,1933,794,1078,1077
"ENSG00000171530",316,348,315,349,364,258,401,337
"ENSG00000213763",121,151,126,95,105,69,132,74
"ENSG00000133710",39,54,41,33,24,23,29,14
"ENSG00000283288",0,0,0,0,0,0,0,0
"ENSG00000184584",32,35,40,34,2,1,0,0
"ENSG00000249689",0,0,0,0,0,0,0,0
"ENSG00000249215",1,0,1,0,0,0,0,0
"ENSG00000286403",1,0,0,0,0,0,0,0
"ENSG00000207020",0,0,0,0,0,0,0,0
"ENSG00000275506",0,1,0,0,0,0,0,2
"ENSG00000272255",0,2,0,0,1,0,0,1
"ENSG00000171604",1958,2731,1972,1984,2142,1709,2008,1931
"ENSG00000131508",1301,1791,1363,1476,1526,1426,1631,1342
"ENSG00000113048",344,491,436,443,455,345,442,337
"ENSG00000153347",12,18,24,26,0,1,1,0
"ENSG00000225165",4,3,1,2,0,1,1,0
"ENSG00000212259",0,0,0,0,0,1,0,0
"ENSG00000164291",94,103,87,90,39,37,50,42
"ENSG00000178015",2,3,3,2,4,5,1,3
"ENSG00000287581",1,2,0,1,1,1,0,0
"ENSG00000145569",136,191,178,135,75,78,92,58
"ENSG00000251366",0,0,0,0,0,0,0,0
"ENSG00000251221",1,3,0,0,0,0,0,0
"ENSG00000249655",1,0,0,0,0,0,0,0
"ENSG00000152670",1,3,0,1,3,1,0,0
"ENSG00000251368",0,0,0,0,0,0,0,0
"ENSG00000199322",0,0,0,0,0,0,0,0
"ENSG00000248854",0,4,1,2,2,2,1,0
"ENSG00000262211",0,0,0,0,0,0,0,0
"ENSG00000264281",0,0,0,1,0,0,0,0
"ENSG00000238326",0,0,0,0,0,0,0,0
"ENSG00000134352",1940,2834,2145,1950,730,509,597,405
"ENSG00000113492",0,0,0,1,0,0,0,0
"ENSG00000250886",0,0,0,0,0,0,0,0
"ENSG00000168724",315,439,340,298,326,247,254,218
"ENSG00000164185",52,67,70,78,5,3,2,3
"ENSG00000250803",0,3,1,2,0,0,1,0
"ENSG00000181751",152,265,191,202,303,285,331,207
"ENSG00000145725",936,1353,876,865,1480,1283,1335,984
"ENSG00000244921",0,0,0,0,0,1,1,1
"ENSG00000249119",0,3,0,2,1,0,1,1
"ENSG00000248923",0,1,0,0,1,0,2,0
"ENSG00000247627",13,34,22,11,28,22,21,21
"ENSG00000198868",0,0,0,0,0,0,0,0
"ENSG00000263963",0,0,0,0,0,0,0,0
"ENSG00000249192",0,0,0,0,0,0,0,0
"ENSG00000152705",1,1,0,4,1,3,1,3
"ENSG00000069011",4,4,5,2,0,0,0,0
"ENSG00000250167",0,0,0,1,0,0,0,0
"ENSG00000145832",0,2,0,1,0,0,0,0
"ENSG00000181965",0,0,1,1,0,1,0,0
"ENSG00000145824",26,41,23,34,0,0,2,0
"ENSG00000251045",0,0,0,0,0,0,0,0
"ENSG00000223539",0,0,0,0,0,0,0,0
"ENSG00000265924",0,0,0,0,0,0,0,0
"ENSG00000250378",0,0,0,0,0,0,0,2
"ENSG00000289752",0,0,0,0,0,0,0,0
"ENSG00000011083",0,1,0,0,14,7,11,6
"ENSG00000070808",245,417,303,332,624,403,518,436
"ENSG00000055163",2622,3620,2646,2726,3970,3662,4379,3456
"ENSG00000213328",0,1,0,0,1,1,0,1
"ENSG00000253869",1,0,1,0,2,0,0,0
"ENSG00000178187",18,49,35,30,52,48,71,49
"ENSG00000254035",9,11,12,7,15,17,11,9
"ENSG00000113262",11,26,17,9,28,23,21,24
"ENSG00000254158",0,0,0,0,0,0,0,0
"ENSG00000234284",42,54,43,52,89,88,90,68
"ENSG00000177932",161,238,186,173,326,264,326,227
"ENSG00000253144",0,0,0,0,0,0,0,0
"ENSG00000087116",47,54,47,43,69,62,100,92
"ENSG00000253979",0,0,0,0,0,0,0,0
"ENSG00000253617",0,0,0,0,0,0,0,0
"ENSG00000250674",0,0,0,0,0,0,0,0
"ENSG00000274716",0,0,0,0,0,0,0,0
"ENSG00000146067",560,724,549,485,762,660,764,665
"ENSG00000112851",927,1398,1122,1139,480,302,340,254
"ENSG00000252904",0,0,0,0,0,0,1,1
"ENSG00000286314",1,0,0,0,1,0,0,0
"ENSG00000285999",5,10,8,3,2,4,0,0
"ENSG00000153914",431,688,572,495,534,463,477,345
"ENSG00000253744",0,0,0,0,0,0,0,0
"ENSG00000248846",0,0,2,0,0,1,1,1
"ENSG00000251983",0,0,0,0,0,0,0,0
"ENSG00000068796",976,1266,987,935,1349,1059,1319,944
"ENSG00000113249",0,2,0,3,5,2,1,3
"ENSG00000205838",19,24,15,14,17,13,10,7
"ENSG00000198677",897,1344,1091,1033,821,798,775,554
"ENSG00000278905",2,3,2,1,0,1,1,0
"ENSG00000284336",0,0,0,0,0,0,0,0
"ENSG00000249353",18,31,36,40,31,17,25,28
"ENSG00000248483",2,2,2,0,2,1,3,1
"ENSG00000175745",977,1631,1107,1038,3063,3423,3395,3176
"ENSG00000286713",0,0,0,0,0,0,0,0
"ENSG00000285978",0,1,0,0,0,0,4,0
"ENSG00000169131",96,131,95,93,148,146,186,116
"ENSG00000274813",0,0,0,0,0,0,0,0
"ENSG00000253725",1,0,0,0,0,0,0,1
"ENSG00000278441",0,0,0,0,0,0,0,0
"ENSG00000178338",61,82,80,97,126,109,102,83
"ENSG00000206624",0,0,0,0,0,0,0,0
"ENSG00000242110",5,4,2,5,3,1,2,5
"ENSG00000289791",0,0,0,0,0,0,0,0
"ENSG00000274235",0,0,0,0,0,0,0,0
"ENSG00000277866",0,0,0,0,0,0,0,0
"ENSG00000197043",1660,2149,1729,1708,253,250,264,226
"ENSG00000174358",0,0,0,0,0,0,0,0
"ENSG00000164363",0,0,0,0,0,0,1,0
"ENSG00000164362",0,0,0,0,0,0,0,0
"ENSG00000263670",0,0,0,0,0,0,0,0
"ENSG00000049656",792,1105,723,754,540,526,565,502
"ENSG00000286388",45,87,67,64,75,82,64,49
"ENSG00000250584",0,1,2,2,0,1,2,1
"ENSG00000248951",0,0,0,0,0,0,0,0
"ENSG00000279908",0,1,3,3,3,3,0,0
"ENSG00000273742",0,0,0,0,0,0,0,0
"ENSG00000254335",0,0,0,0,0,0,0,0
"ENSG00000172058",0,1,0,2,0,1,1,2
"ENSG00000172062",46,54,55,59,25,29,31,23
"ENSG00000249437",3,13,13,7,3,8,6,5
"ENSG00000145736",34,30,45,28,24,36,27,21
"ENSG00000289810",3,4,3,6,1,6,7,5
"ENSG00000289924",0,0,0,0,0,0,0,0
"ENSG00000131732",86,107,90,91,86,58,72,58
"ENSG00000172497",0,1,4,1,3,1,1,5
"ENSG00000145687",1011,1433,960,1097,829,564,665,534
"ENSG00000113558",189,254,195,229,233,217,245,181
"ENSG00000272772",0,0,0,0,0,0,0,0
"ENSG00000273345",1,0,1,1,0,1,0,4
"ENSG00000289088",6,10,5,6,6,2,6,3
"ENSG00000206077",88,120,119,98,166,158,186,163
"ENSG00000288930",23,42,20,27,44,29,45,33
"ENSG00000250749",0,0,0,0,0,1,0,0
"ENSG00000161055",1,0,1,0,0,0,0,0
"ENSG00000037280",19,28,9,17,9,16,16,9
"ENSG00000248717",0,0,0,0,0,0,0,0
"ENSG00000236791",0,0,0,0,0,0,0,0
"ENSG00000207290",0,0,0,0,0,0,0,0
"ENSG00000238035",0,0,0,2,4,1,0,5
"ENSG00000274553",0,0,0,0,0,0,0,0
"ENSG00000269983",0,0,0,0,0,0,0,0
"ENSG00000254132",0,0,0,0,0,0,0,0
"ENSG00000251544",0,2,0,0,0,1,1,0
"ENSG00000251340",0,0,0,0,0,0,0,0
"ENSG00000232578",0,2,0,0,0,2,0,0
"ENSG00000133302",134,186,128,142,111,76,112,86
"ENSG00000249175",0,0,0,0,0,0,0,0
"ENSG00000243806",0,0,0,0,0,0,0,0
"ENSG00000276514",0,0,0,0,0,0,0,0
"ENSG00000185261",75,95,80,69,39,24,23,35
"ENSG00000113648",1129,1525,1111,1083,1078,890,1045,935
"ENSG00000280987",1,0,4,1,2,2,0,0
"ENSG00000038382",3530,5318,3531,3082,4608,4149,4888,4178
"ENSG00000249807",0,0,0,0,0,0,0,0
"ENSG00000280449",0,0,0,0,0,0,0,0
"ENSG00000280368",0,0,0,0,0,0,0,0
"ENSG00000260515",0,0,0,0,0,0,0,0
"ENSG00000271998",0,0,0,0,0,0,0,0
"ENSG00000272417",0,1,0,1,2,3,2,2
"ENSG00000150756",54,78,78,68,59,73,51,42
"ENSG00000150753",1133,1475,1031,1143,1151,1069,1198,864
"ENSG00000271715",0,6,3,2,0,0,0,0
"ENSG00000164237",285,473,356,380,89,93,94,72
"ENSG00000252341",0,0,0,0,2,0,0,0
"ENSG00000252671",0,0,0,0,0,1,0,0
"ENSG00000280369",0,0,0,0,0,0,0,0
"ENSG00000277073",0,0,0,0,0,0,0,0
"ENSG00000244361",0,0,0,0,2,0,0,0
"ENSG00000168967",0,0,0,0,0,0,0,0
"ENSG00000205449",0,0,0,0,0,0,0,0
"ENSG00000290550",0,0,0,0,0,0,0,0
"ENSG00000253798",0,0,0,0,0,0,0,0
"ENSG00000169040",0,0,0,0,0,0,0,0
"ENSG00000255622",0,0,0,0,0,0,0,0
"ENSG00000146001",0,0,0,0,0,0,0,0
"ENSG00000262096",0,2,0,0,2,1,0,0
"ENSG00000283559",0,0,0,0,0,0,0,0
"ENSG00000246596",6,15,12,16,11,24,20,16
"ENSG00000253897",0,0,0,0,0,0,0,0
"ENSG00000185986",0,0,0,0,1,0,0,1
"ENSG00000170089",0,0,0,0,0,0,0,0
"ENSG00000197083",0,0,0,0,0,0,0,0
"ENSG00000250765",0,0,0,0,0,0,0,0
"ENSG00000226259",0,0,0,0,0,0,0,0
"ENSG00000250687",0,0,0,0,0,0,0,0
"ENSG00000249073",0,0,0,0,0,0,0,0
"ENSG00000113583",602,805,673,723,359,289,307,240
"ENSG00000213585",1360,1833,1439,1641,1742,1492,1891,1555
"ENSG00000271128",0,1,0,0,0,0,0,0
"ENSG00000081059",52,65,63,58,70,75,76,80
"ENSG00000212122",0,0,0,0,0,0,0,0
"ENSG00000251741",0,0,0,0,0,0,0,0
"ENSG00000047188",239,409,324,253,512,428,444,339
"ENSG00000171444",117,142,133,119,99,69,80,75
"ENSG00000251553",0,0,0,0,0,0,0,0
"ENSG00000174136",418,644,373,335,932,806,627,506
"ENSG00000250162",1,0,0,0,0,0,0,0
"ENSG00000153922",403,500,439,442,447,357,425,315
"ENSG00000222610",0,0,0,0,0,0,0,0
"ENSG00000200351",0,0,1,0,0,0,1,0
"ENSG00000241597",1,1,0,0,0,0,0,0
"ENSG00000290968",2,1,1,1,1,2,0,0
"ENSG00000113712",1276,1665,1365,1345,1352,1177,1338,979
"ENSG00000230551",83,142,106,86,77,79,68,66
"ENSG00000241112",0,0,1,0,1,0,0,0
"ENSG00000279979",0,0,0,0,0,0,0,0
"ENSG00000278865",0,0,0,0,0,0,0,0
"ENSG00000112977",881,1201,1085,1045,362,232,289,269
"ENSG00000169862",1968,3033,1858,1804,3769,3141,4089,3536
"ENSG00000207312",0,0,0,0,0,0,0,0
"ENSG00000113070",154,199,186,134,123,142,127,133
"ENSG00000276622",0,0,0,0,0,0,0,0
"ENSG00000113140",10004,13888,12971,12100,95,40,36,36
"ENSG00000039537",6,13,18,28,0,1,0,0
"ENSG00000112936",75,85,88,47,0,2,6,2
"ENSG00000138829",177,267,256,205,8,9,17,9
"ENSG00000242976",0,0,0,0,2,0,0,1
"ENSG00000155511",869,1231,842,759,2656,1169,1490,1124
"ENSG00000273549",0,2,4,0,1,0,1,1
"ENSG00000249834",0,0,1,1,0,2,0,0
"ENSG00000145879",0,1,2,0,0,0,0,0
"ENSG00000204909",0,2,0,3,1,5,2,0
"ENSG00000145868",425,612,428,495,474,402,378,305
"ENSG00000274799",0,0,0,0,0,0,0,0
"ENSG00000251330",5,2,3,2,1,0,3,0
"ENSG00000164270",0,0,1,1,0,0,0,3
"ENSG00000253297",0,0,0,0,0,0,0,0
"ENSG00000234511",0,1,1,2,0,0,0,2
"ENSG00000230561",3,1,0,1,1,2,2,0
"ENSG00000080709",13,24,14,26,16,14,16,21
"ENSG00000222706",0,0,0,0,0,0,0,0
"ENSG00000251542",0,0,0,0,0,0,0,0
"ENSG00000122008",187,242,211,203,219,186,185,172
"ENSG00000175449",8,4,6,5,13,7,7,1
"ENSG00000145757",2,3,3,0,0,5,1,3
"ENSG00000164292",523,878,624,574,462,401,435,298
"ENSG00000173221",214,285,266,292,107,88,130,90
"ENSG00000251348",0,4,1,0,2,1,0,4
"ENSG00000284447",0,0,0,0,0,0,0,0
"ENSG00000081189",249,333,235,259,124,118,136,92
"ENSG00000283653",1,0,0,0,0,0,2,0
"ENSG00000113649",463,648,528,519,936,774,806,619
"ENSG00000249662",0,0,0,0,0,0,0,0
"ENSG00000268799",0,0,0,0,0,0,0,0
"ENSG00000250667",0,0,0,0,0,0,0,1
"ENSG00000248205",0,0,0,0,0,0,0,0
"ENSG00000250088",0,0,0,0,0,0,0,0
"ENSG00000248422",0,0,0,0,0,0,0,0
"ENSG00000249282",0,0,0,0,0,0,0,0
"ENSG00000271296",0,0,0,0,0,0,0,0
"ENSG00000250351",0,0,0,0,0,0,0,0
"ENSG00000248471",0,0,0,0,0,0,0,0
"ENSG00000248160",0,0,0,0,0,0,0,0
"ENSG00000248542",0,0,0,0,0,0,0,0
"ENSG00000248337",0,0,0,0,0,0,0,0
"ENSG00000269466",5,5,8,7,0,1,0,0
"ENSG00000274832",0,0,0,0,0,0,0,0
"ENSG00000250715",0,0,0,0,0,0,0,0
"ENSG00000152377",1029,1498,995,887,2206,1532,2201,1701
"ENSG00000146021",104,143,95,90,215,155,142,131
"ENSG00000216009",0,0,0,0,0,0,0,0
"ENSG00000200235",0,0,0,0,0,0,0,0
"ENSG00000284325",0,0,0,0,0,0,0,0
"ENSG00000204967",389,579,460,387,655,483,550,463
"ENSG00000279011",0,0,0,0,0,0,0,0
"ENSG00000279755",0,0,0,0,0,0,0,0
"ENSG00000278874",0,0,0,0,0,0,0,0
"ENSG00000280016",0,0,0,0,0,0,0,0
"ENSG00000145495",2791,4404,3350,3107,3911,3360,3563,2747
"ENSG00000164236",10,15,10,5,5,4,2,1
"ENSG00000250106",0,0,0,0,0,0,0,0
"ENSG00000251196",0,0,0,0,0,0,0,0
"ENSG00000251548",0,2,1,0,0,0,0,1
"ENSG00000254192",0,1,5,1,0,6,0,0
"ENSG00000184347",1308,2163,1446,1584,174,184,226,199
"ENSG00000254042",3,6,5,2,1,0,1,0
"ENSG00000207739",2,6,3,4,1,0,0,0
"ENSG00000202345",0,0,0,0,0,0,0,0
"ENSG00000279752",1,0,0,0,0,0,0,0
"ENSG00000207619",0,0,0,0,0,0,0,0
"ENSG00000185662",0,0,0,0,0,0,0,0
"ENSG00000250722",7,13,18,9,1,4,0,3
"ENSG00000249092",0,0,0,0,0,0,0,0
"ENSG00000251163",0,0,0,0,0,0,0,0
"ENSG00000250045",0,0,2,0,2,0,0,2
"ENSG00000212370",0,0,0,0,0,2,0,0
"ENSG00000200051",0,0,0,0,0,1,0,0
"ENSG00000283717",0,0,0,0,0,0,0,0
"ENSG00000292256",0,0,0,0,0,1,1,0
"ENSG00000169045",1436,1919,1701,1661,2168,1809,1986,1423
"ENSG00000164330",426,606,487,469,1176,1183,1283,1098
"ENSG00000182132",71,88,62,74,131,168,150,119
"ENSG00000253858",0,0,0,0,0,0,0,0
"ENSG00000253591",1,0,1,0,1,4,0,2
"ENSG00000094755",2,0,0,0,0,0,0,0
"ENSG00000244501",0,0,0,0,0,1,0,0
"ENSG00000253966",1,3,1,1,0,0,0,0
"ENSG00000182836",143,230,112,137,12,33,26,10
"ENSG00000164329",133,210,167,177,190,151,192,145
"ENSG00000238254",0,0,0,0,0,0,0,0
"ENSG00000240611",0,0,0,0,0,0,0,0
"ENSG00000053108",58,90,58,61,105,274,250,210
"ENSG00000250409",0,0,0,0,0,0,0,0
"ENSG00000221287",0,0,0,0,0,0,0,0
"ENSG00000280104",0,0,0,0,0,0,0,0
"ENSG00000279197",0,0,0,0,0,0,0,1
"ENSG00000251243",0,0,0,0,0,0,0,0
"ENSG00000120733",939,1428,1135,1092,1402,1078,1285,1020
"ENSG00000120705",815,1135,861,919,724,652,777,519
"ENSG00000156463",7,7,8,6,0,1,0,0
"ENSG00000173261",1,4,1,6,6,7,4,4
"ENSG00000251556",0,0,0,0,0,1,2,0
"ENSG00000133706",930,1292,1071,1146,1143,992,1105,837
"ENSG00000239602",0,0,0,0,0,0,0,0
"ENSG00000239317",0,0,0,0,0,0,0,0
"ENSG00000275740",0,0,0,0,0,0,0,0
"ENSG00000091009",135,207,166,150,228,167,211,165
"ENSG00000238374",0,0,0,0,0,0,0,0
"ENSG00000173210",805,1004,719,740,1147,1049,1127,869
"ENSG00000253406",2,3,1,1,4,4,4,3
"ENSG00000157510",6,7,9,3,1,6,2,2
"ENSG00000164284",247,381,272,307,419,331,436,340
"ENSG00000145882",296,394,308,288,302,277,264,213
"ENSG00000127743",8,7,3,4,4,2,1,2
"ENSG00000275871",0,0,0,0,0,0,0,0
"ENSG00000284182",0,0,0,0,0,0,0,0
"ENSG00000276365",0,0,0,0,0,0,0,0
"ENSG00000290991",0,0,0,0,0,0,0,0
"ENSG00000123643",347,524,280,291,454,379,392,315
"ENSG00000145860",724,1048,840,837,853,732,690,613
"ENSG00000164256",0,0,0,0,0,0,0,0
"ENSG00000285891",0,0,0,0,0,0,0,0
"ENSG00000291019",2,2,2,1,0,2,1,0
"ENSG00000113645",301,461,366,387,144,176,214,157
"ENSG00000113643",459,672,504,573,441,342,395,293
"ENSG00000188573",437,651,415,426,724,666,836,755
"ENSG00000120137",1803,2733,1847,1838,3167,2707,3074,2216
"ENSG00000253861",0,0,0,0,0,0,0,0
"ENSG00000199035",0,0,0,0,0,0,0,0
"ENSG00000283612",0,0,0,0,0,0,0,0
"ENSG00000233913",338,415,365,363,309,249,325,232
"ENSG00000207261",0,0,0,0,0,0,0,0
"ENSG00000248577",0,0,0,0,0,0,0,0
"ENSG00000250629",0,0,0,0,0,0,0,0
"ENSG00000145623",56,61,64,38,0,1,0,0
"ENSG00000164327",213,378,329,260,379,346,344,285
"ENSG00000249089",0,0,0,0,0,0,0,0
"ENSG00000286809",0,0,0,0,0,0,0,0
"ENSG00000165671",925,1438,954,882,1677,1261,1136,940
"ENSG00000145545",986,1443,1093,1059,1204,1175,1371,1149
"ENSG00000205571",24,36,38,32,32,22,30,17
"ENSG00000285151",0,0,0,0,0,0,0,0
"ENSG00000253492",0,0,0,0,0,0,0,0
"ENSG00000113448",1400,2331,1940,1942,1518,1338,1339,1019
"ENSG00000276214",0,0,0,0,0,0,0,0
"ENSG00000251306",0,0,0,0,0,0,0,0
"ENSG00000202601",0,0,0,0,0,0,0,0
"ENSG00000202017",0,0,0,0,0,0,0,0
"ENSG00000213896",0,1,0,0,0,0,0,0
"ENSG00000273701",0,0,0,0,0,0,0,0
"ENSG00000275634",0,0,0,0,0,0,0,0
"ENSG00000276233",0,0,0,0,0,0,0,0
"ENSG00000035499",28,45,21,17,17,6,12,6
"ENSG00000251303",0,0,0,0,0,0,0,0
"ENSG00000250148",0,0,0,0,0,0,0,0
"ENSG00000199990",0,0,0,0,0,0,0,0
"ENSG00000202111",0,0,0,0,0,0,0,0
"ENSG00000202515",0,0,0,0,0,0,1,0
"ENSG00000240785",0,0,0,0,0,0,0,0
"ENSG00000293053",0,0,0,0,0,0,0,2
"ENSG00000249149",0,0,0,0,0,0,0,0
"ENSG00000213433",0,0,0,0,0,0,0,0
"ENSG00000225051",0,0,0,0,1,0,0,1
"ENSG00000287067",1,1,0,0,0,0,0,0
"ENSG00000251623",0,0,0,0,0,0,0,0
"ENSG00000226926",0,0,0,0,0,0,0,0
